{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'Acadian and North African Pair wise analyses resulted in maximum lod logarithm of the odds ratio scores of 3 84 and 2 9 respectively To confirm these findings a large linkage study was performed in twelve additional families segregating for [E1] Alstrom syndrome [\\E1] A maximum two point lod score of 7 13 theta 0 00 for marker D2S2110 and a maximum cumulative multipoint lod score of 9 16 for marker D2S2110 were observed further supporting linkage to chromosome 2p13 No evidence of', 'mention_data': {'kb_id': 'D056769', 'candidates': ['D056769', 'C536588', 'C535913', 'C565258', 'C567819', 'C538225', 'C535334', 'C538556', 'C537428', 'C537138', 'C537046', 'C537415', 'C563346', 'C566380', 'C531906', 'C538245', 'C564931', 'C537058', 'C413711', 'C413710', 'C536678', 'C535638', 'C562625', 'C535296', 'C000649402', 'C000594351', 'C567043', 'C537047', 'C536627', 'C536201', 'C535392', 'C535286', 'C564551', 'C536668', 'C567527', 'C535559', 'C526982', 'C537431', 'C538070', 'C113620', 'D004535', 'C538010', 'C470641', 'C535991', 'C536574', 'C537219', 'D016111', 'C538335', 'C536444', 'C537049', 'C438187', 'C538186', 'C537137', 'C537122', 'C535557', 'C566222', 'D018980', 'C512358', 'C537872', 'C537633', 'C562424', 'C537497', 'C537408', 'C537938']}}
{'text': 'Haplotype and multipoint linkage analysis in Finnish [E1] choroideremia [\\E1] families Multipoint linkage analysis of choroideremia TCD and seven X chromosomal restriction fragment length polymorphisms RFLPs was carried out in 18 Finnish TCD families The data place TCD distal to PGK and DXS72 very close to DXYS1 and DXYS5', 'mention_data': {'kb_id': 'D015794', 'candidates': ['D015794', 'C535358', 'D002833', 'D015862', 'D002825', 'D002829', 'C104950', 'C000610645', 'D011289', 'C536352', 'D056897', 'D002802', 'D002819', 'C566124', 'C000619556', 'D002813', 'D002812', 'C000649394', 'D002796', 'D002804', 'C411819', 'C583596', 'C040529', 'C048641', 'C537914', 'C053841', 'C567729', 'C048150', 'C000656804', 'C567750', 'D020019', 'D002766', 'C564591', 'C439758', 'C118254', 'C047716', 'D001403', 'D002830', 'C044201', 'D000080365', 'C565852', 'D002800', 'C000650846', 'C000623394', 'C025997', 'C054612', 'C053399', 'C050552', 'D013257', 'C038242', 'C563583', 'C072988', 'C466419', 'C050553', 'D013256', 'C537408', 'C058798', 'C410885', 'C012839', 'D002828', 'C119792', 'C024800', 'D018925', 'D013260']}}
{'text': 'Haplotype and multipoint linkage analysis in Finnish choroideremia families Multipoint linkage analysis of [E1] choroideremia [\\E1] TCD and seven X chromosomal restriction fragment length polymorphisms RFLPs was carried out in 18 Finnish TCD families The data place TCD distal to PGK and DXS72 very close to DXYS1 and DXYS5 Zmax 24 at theta 0 and', 'mention_data': {'kb_id': 'D015794', 'candidates': ['D015794', 'D002833', 'C535358', 'D002825', 'D015862', 'D002819', 'D002829', 'C536352', 'D002804', 'D011289', 'C104950', 'C567729', 'D002796', 'C566124', 'D002813', 'D002812', 'C567750', 'C537914', 'D000080365', 'D020019', 'C000656804', 'D002766', 'C000610645', 'D002828', 'C565852', 'C000619556', 'C583596', 'D002821', 'C564591', 'D006981', 'D006432', 'D002802', 'D001404', 'D056693', 'D002832', 'C118254', 'C054612', 'C411819', 'D002822', 'C048641', 'D031954', 'C000623394', 'C047716', 'D002830', 'D006980', 'C567034', 'C040529', 'D056833', 'C000602169', 'C000650846', 'D020150', 'C537408', 'D003490', 'C565850', 'C048150', 'C439758', 'D006940', 'C050552', 'C032249', 'D009794', 'C537915', 'C563330', 'C097819', 'D014115']}}
{'text': '15/99 chromosomes not carrying TCD Moreover in 71/104 non TCD chromosomes the haplotype at six marker loci is different from those seen in any of the 76 TCD chromosomes This supports the previously described hypothesis that the large Northern Finnish [E1] choroideremia [\\E1] pedigrees comprising a total of over 80 living patients representing more than a fifth of all TCD patients described worldwide carry the same mutation These linkage and haplotype data provide improved opportunities for prenatal diagnosis based on RFLP studies', 'mention_data': {'kb_id': 'D015794', 'candidates': ['D015794', 'D002833', 'C535358', 'D015862', 'D002825', 'C536352', 'C104950', 'C566124', 'D002829', 'D002796', 'D002804', 'D002819', 'D002813', 'C537914', 'D011289', 'C567729', 'D000080365', 'D031954', 'C040529', 'C048641', 'C567750', 'D002828', 'C565850', 'C000610645', 'D002812', 'D002830', 'C564591', 'D002802', 'C044201', 'D002821', 'C565852', 'C025997', 'D002822', 'D002766', 'D006980', 'C047716', 'C537913', 'D020019', 'C053841', 'C563583', 'C048150', 'C118254', 'C562858', 'C072988', 'C439758', 'C566403', 'C050553', 'C038242', 'C466419', 'C410885', 'C535357', 'C053399', 'C537915', 'C583596', 'C000666727', 'C563195', 'D002832', 'C000656804', 'C050552', 'C000619556', 'D006981', 'C119792', 'C565379', 'D001404']}}
{'text': 'Beta catenin accumulation and mutation of the CTNNB1 gene in [E1] hepatoblastoma [\\E1] Hepatoblastoma is a rare malignant tumor of the liver that occurs in children at an average age of 2 to 3 years Epidemiologic studies have shown an increased frequency of this tumor type in families affected by adenomatous polyposis', 'mention_data': {'kb_id': 'D018197', 'candidates': ['D018197', 'C567299', 'D009447', 'D018325', 'C537162', 'D006528', 'D018219', 'D005909', 'D012175', 'D005350', 'D002804', 'D022781', 'D010190', 'D001984', 'D011471', 'D010871', 'D002277', 'D000564', 'C013014', 'D018220', 'D010610', 'D017169', 'D064129', 'D007012', 'D009455', 'D018319', 'D051677', 'D018214', 'C000683245', 'D051642', 'D010282', 'D010212', 'D005706', 'D000084122', 'D009381', 'D011470', 'D018226', 'D005910', 'D015175', 'D000072656', 'D002280', 'D014345', 'C535836', 'D008637', 'D006529', 'D015408', 'C549759', 'D019337', 'D013736', 'C538095', 'D016545', 'D006222', 'D006391', 'C567447', 'D012878', 'C567449', 'D013005', 'D007029', 'D008113', 'D047708', 'C567448', 'D004886', 'D010954', 'C567456']}}
{'text': 'Beta catenin accumulation and mutation of the CTNNB1 gene in hepatoblastoma [E1] Hepatoblastoma [\\E1] is a rare malignant tumor of the liver that occurs in children at an average age of 2 to 3 years Epidemiologic studies have shown an increased frequency of this tumor type in families affected by adenomatous polyposis coli', 'mention_data': {'kb_id': 'D018197', 'candidates': ['D018197', 'C567299', 'D006528', 'D018219', 'D018325', 'D005350', 'D009447', 'C537162', 'D005909', 'D022781', 'D002804', 'D012175', 'D001984', 'D002277', 'D010190', 'D010871', 'D011471', 'D017169', 'D018214', 'D018220', 'D005910', 'D051642', 'D010610', 'C000683245', 'D005706', 'D007012', 'D009455', 'D009381', 'D008113', 'D051677', 'D010212', 'D064129', 'D006529', 'D002280', 'D016545', 'D010282', 'D018319', 'D006222', 'D018226', 'D008637', 'C013014', 'D000564', 'D006406', 'D018365', 'D006391', 'D013736', 'D019337', 'D015408', 'D047708', 'D013005', 'D006393', 'D001650', 'D000084122', 'D018299', 'D012207', 'D012468', 'D008479', 'D010954', 'D007029', 'D014345', 'D000072656', 'D009378', 'D002292', 'D008204']}}
{'text': 'gene in hepatoblastoma Hepatoblastoma is a rare malignant tumor of the liver that occurs in children at an average age of 2 to 3 years Epidemiologic studies have shown an increased frequency of this tumor type in families affected by [E1] adenomatous polyposis coli [\\E1] In addition to the epidemiologic data molecular genetic studies suggest that inactivation of the APC tumor suppressor may be involved in hepatoblastoma tumorigenesis A major function of APC is the downregulation of beta catenin a transcription activating protein with', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'D008949', 'C562730', 'C563250', 'C090876', 'C031511', 'C000671802', 'D018262', 'C000640096', 'D017188', 'C564876', 'D025601', 'C538110', 'C535644', 'D062788', 'C062351', 'D000238', 'D018194', 'C566775', 'C000640098', 'C538232', 'D044483', 'C407009', 'C538265', 'D000236', 'C000699842', 'C000640097', 'C061075', 'D000235', 'C566776', 'C000647651', 'C566774', 'C000704382', 'C520193', 'C000670205', 'D018196', 'D000257', 'C048567', 'C000667628', 'C017991', 'C010671', 'C562464', 'C000640100', 'C538229', 'D018266', 'C000638457', 'C000704883', 'C526457', 'C000684610', 'C000613192', 'C000683151', 'C566614', 'D017285', 'C000691299', 'C536061', 'C022571', 'C018444', 'C000653126', 'C030812', 'C044618', 'C000699858']}}
{'text': 'years Epidemiologic studies have shown an increased frequency of this tumor type in families affected by adenomatous polyposis coli In addition to the epidemiologic data molecular genetic studies suggest that inactivation of the APC tumor suppressor may be involved in [E1] hepatoblastoma [\\E1] tumorigenesis A major function of APC is the downregulation of beta catenin a transcription activating protein with oncogenic potential In an ongoing immunohistochemical study of beta catenin expression in sporadic cases of tumor types that are associated with adenomatous', 'mention_data': {'kb_id': 'D018197', 'candidates': ['D018197', 'C567299', 'C537162', 'D018325', 'D009447', 'D005909', 'D018219', 'D006528', 'D012175', 'D005350', 'D002804', 'D010190', 'D022781', 'C013014', 'D000564', 'D010871', 'D018220', 'D018319', 'D002277', 'D009455', 'D001984', 'D011471', 'D017169', 'D018214', 'D005347', 'D005910', 'D009381', 'D010610', 'C000683245', 'D007012', 'D018226', 'D000084122', 'D005706', 'D064129', 'D051677', 'D051642', 'D010212', 'D019337', 'D014345', 'D013736', 'C535836', 'D002280', 'D010282', 'D006965', 'D010954', 'D016545', 'D047708', 'D000072656', 'D018223', 'D012514', 'C537258', 'D011470', 'C535837', 'D015408', 'D013005', 'C538095', 'D002292', 'C114171', 'D007029', 'D012878', 'D008637', 'D006527', 'C549759', 'D016769']}}
{'text': 'in hepatoblastoma tumorigenesis A major function of APC is the downregulation of beta catenin a transcription activating protein with oncogenic potential In an ongoing immunohistochemical study of beta catenin expression in sporadic cases of tumor types that are associated with [E1] adenomatous polyposis coli [\\E1] we observed increased beta catenin levels in the cytoplasm and in the nuclei of three investigated hepatoblastomas Sequencing of exon 3 of the beta catenin gene CTNNB1 revealed an activating mutation in one of the tumor samples Our data', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'D008949', 'C090876', 'C562730', 'C563250', 'C566776', 'C564876', 'C031511', 'C535644', 'C566775', 'C000640096', 'C000671802', 'D018262', 'C000699842', 'C566774', 'D017188', 'C000640098', 'C562464', 'C000684610', 'D044483', 'D025601', 'C000640097', 'C062351', 'C000704382', 'C000699858', 'D062788', 'C000638457', 'C407009', 'C000647651', 'D000238', 'C061075', 'C000640100', 'C538265', 'C538110', 'D018194', 'D018196', 'C520193', 'C000643494', 'C000670205', 'C000699817', 'C017991', 'C566862', 'C000699862', 'C536061', 'C000671059', 'C000661416', 'C000665713', 'C048567', 'C000691299', 'C000643719', 'C000653126', 'C010671', 'D000236', 'C000647324', 'C018446', 'C566310', 'C538229', 'C000678863', 'D018253', 'C538232', 'C000699846']}}
{'text': 'hepatoblastomas Sequencing of exon 3 of the beta catenin gene CTNNB1 revealed an activating mutation in one of the tumor samples Our data indicate for the first time that beta catenin accumulation may play a role in the development of [E1] hepatoblastoma [\\E1] and that activating mutations of the beta catenin gene may substitute biallelic APC inactivation in this tumor type Genes Chromosomes Cancer 25 399 402 1999', 'mention_data': {'kb_id': 'D018197', 'candidates': ['D018197', 'C567299', 'D009447', 'D018325', 'D005909', 'C537162', 'D018219', 'D006528', 'D005350', 'D012175', 'D002804', 'D022781', 'D010190', 'D010871', 'D009455', 'D000564', 'D018319', 'D002277', 'D018220', 'D051677', 'D018214', 'D001984', 'D051642', 'D005910', 'D018226', 'D011471', 'D017169', 'C013014', 'D006222', 'D010212', 'D002280', 'C000683245', 'D007012', 'D016545', 'D000084122', 'D064129', 'D011470', 'D019337', 'D014345', 'D009381', 'D005706', 'D047708', 'D010610', 'D015408', 'D006391', 'D013005', 'D015175', 'D010954', 'D007029', 'D010235', 'C538095', 'D010282', 'D006527', 'D012207', 'D018223', 'D005347', 'D000072656', 'D006965', 'D018316', 'D005354', 'D008637', 'D004886', 'C535836', 'D002292']}}
{'text': 'In vivo modulation of Hmgic reduces [E1] obesity [\\E1] The HMGI family of proteins consists of three members HMGIC HMGI and HMGI Y that function as architectural factors and are essential components of the enhancesome HMGIC is predominantly expressed in proliferating undifferentiated mesenchymal cells and is not detected', 'mention_data': {'kb_id': 'D009765', 'candidates': ['D009765', 'C563938', 'D000067329', 'D009767', 'D056128', 'D000094408', 'D004620', 'D004614', 'D044343', 'D001168', 'D014808', 'D002784', 'D004041', 'D000437', 'D063766', 'D009748', 'D001170', 'D002791', 'D050218', 'D000079262', 'D002100', 'D005223', 'D008660', 'D050154', 'D005232', 'D019440', 'D000073319', 'C002297', 'D009325', 'D005229', 'D059305', 'D010845', 'D000042', 'D004042', 'D001068', 'C535554', 'D001343', 'C048016', 'D065567', 'D004064', 'D009750', 'D017588', 'D000070601', 'D043371', 'D000074341', 'D004063', 'D017700', 'D002149', 'D003248', 'D066263', 'D005230', 'D001066', 'D003927', 'D024821', 'D005227', 'C564821', 'D065586', 'D003480', 'D004037', 'D012279', 'C579880', 'D004032', 'C538586', 'D014811']}}
{'text': 'detected in adult tissues It is disrupted and misexpressed in a number of mesenchymal tumour cell types including fat cell tumours lipomas In addition Hmgic / mice have a deficiency in fat tissue To study its role in adipogenesis and [E1] obesity [\\E1] we examined Hmgic expression in the adipose tissue of adult obese mice Mice with a partial or complete deficiency of Hmgic resisted diet induced obesity Disruption of Hmgic caused a reduction in the obesity induced by leptin deficiency Lepob/Lepob', 'mention_data': {'kb_id': 'D009765', 'candidates': ['D009765', 'D000067329', 'C563938', 'D009767', 'D056128', 'D008660', 'D000094408', 'D044343', 'D000073319', 'D004620', 'D019440', 'D004041', 'D005223', 'D000079262', 'D004614', 'D000437', 'D059305', 'D014808', 'D002149', 'D050154', 'D050218', 'D063766', 'D005232', 'D043371', 'C048016', 'D000042', 'D005227', 'D005229', 'D004032', 'D001168', 'D009748', 'D001068', 'C535554', 'D004042', 'D065567', 'D050155', 'D003927', 'D002791', 'D007328', 'D002784', 'D004037', 'Q000378', 'D000072001', 'D004064', 'D004063', 'D000070601', 'D001170', 'D001066', 'D000066888', 'D065586', 'D055423', 'D005228', 'C564821', 'D005230', 'D009750', 'C002297', 'D064133', 'D004040', 'D019587', 'D014811', 'D000375', 'D058620', 'D012279', 'D008661']}}
{'text': '/ mice have a deficiency in fat tissue To study its role in adipogenesis and obesity we examined Hmgic expression in the adipose tissue of adult obese mice Mice with a partial or complete deficiency of Hmgic resisted diet induced [E1] obesity [\\E1] Disruption of Hmgic caused a reduction in the obesity induced by leptin deficiency Lepob/Lepob in a gene dose dependent manner Our studies implicate a role for HMGIC in fat cell proliferation indicating that it may be an adipose specific', 'mention_data': {'kb_id': 'D009765', 'candidates': ['D009765', 'C563938', 'D000067329', 'D009767', 'D056128', 'D000094408', 'D008660', 'D005223', 'D007328', 'D004041', 'D059305', 'D044343', 'D000437', 'D019440', 'D005227', 'D005232', 'D004032', 'D000073319', 'D043371', 'D000079262', 'D005229', 'C048016', 'D002784', 'D002149', 'D014808', 'D004042', 'D004614', 'D019587', 'D002791', 'D004620', 'D000070601', 'D061385', 'D063766', 'D003927', 'D000072001', 'C002297', 'D009748', 'D001066', 'D015032', 'D004040', 'D000073417', 'D004037', 'Q000378', 'D005231', 'D001068', 'D001168', 'D009325', 'D055423', 'D000042', 'D065567', 'D050154', 'D014811', 'D000074341', 'C563897', 'D005228', 'D024821', 'D000067269', 'D006973', 'C557859', 'D050155', 'D010300', 'D016640', 'D001069', 'D004063']}}
{'text': 'study its role in adipogenesis and obesity we examined Hmgic expression in the adipose tissue of adult obese mice Mice with a partial or complete deficiency of Hmgic resisted diet induced obesity Disruption of Hmgic caused a reduction in the [E1] obesity [\\E1] induced by leptin deficiency Lepob/Lepob in a gene dose dependent manner Our studies implicate a role for HMGIC in fat cell proliferation indicating that it may be an adipose specific target for the treatment of obesity', 'mention_data': {'kb_id': 'D009765', 'candidates': ['D009765', 'D000067329', 'C563938', 'D009767', 'D056128', 'D000094408', 'D008660', 'D005223', 'D004041', 'D007328', 'D000437', 'D044343', 'D005227', 'D004620', 'D059305', 'D005232', 'D019440', 'C048016', 'D014808', 'D043371', 'D000073319', 'D004614', 'D005229', 'D004042', 'D002784', 'D002149', 'D002791', 'D004032', 'D000079262', 'D001168', 'D019587', 'D003927', 'D000070601', 'C002297', 'D063766', 'D000042', 'D061385', 'D050218', 'Q000378', 'D009325', 'D000074341', 'D050154', 'D000072001', 'D004037', 'D065567', 'D004040', 'D005228', 'D014811', 'D009748', 'D005231', 'D001066', 'D001170', 'D005230', 'D000073417', 'D050155', 'D055423', 'C535554', 'C563897', 'D024821', 'D065767', 'D002100', 'D019266', 'D015032', 'D000067269']}}
{'text': 'a reduction in the obesity induced by leptin deficiency Lepob/Lepob in a gene dose dependent manner Our studies implicate a role for HMGIC in fat cell proliferation indicating that it may be an adipose specific target for the treatment of [E1] obesity [\\E1]', 'mention_data': {'kb_id': 'D009765', 'candidates': ['D009765', 'C563938', 'D000067329', 'D009767', 'D056128', 'D044343', 'D000094408', 'D000437', 'D008660', 'D004614', 'D000073319', 'D000079262', 'D004041', 'D059305', 'D009748', 'D004620', 'D001168', 'D014808', 'D002100', 'D019440', 'D005223', 'D063766', 'D004032', 'C535554', 'D002149', 'D002784', 'D001068', 'D024821', 'C002297', 'D002791', 'D000072001', 'D004042', 'D007328', 'D009325', 'D003927', 'D010845', 'D001066', 'D000070601', 'D004064', 'D010300', 'D001170', 'D009750', 'D019587', 'D043371', 'D012279', 'D000042', 'C564821', 'D004063', 'C564015', 'D014811', 'D004037', 'C565528', 'C535393', 'D000067269', 'D050218', 'D005232', 'D044342', 'D004040', 'D016640', 'D011502', 'Q000378', 'D000544', 'D005229', 'D049088']}}
{'text': 'Somatic rearrangement of chromosome 14 in human lymphocytes [E1] Ataxia telangiectasia [\\E1] is a rare genetic disorder associated with immune deficiency chromosome instability and a predisposition to lymphoid malignancy We have detected chromosomally anomalous clones of lymphocytes in eight patients with this disorder Chromosome banding disclosed that the clones are consistently', 'mention_data': {'kb_id': 'D001260', 'candidates': ['D001260', 'C565930', 'C565691', 'C535497', 'C565779', 'D013683', 'D013684', 'C566865', 'C562908', 'C536954', 'D064007', 'C576887', 'C566386', 'C531684', 'C566080', 'C563086', 'C564105', 'C565933', 'C537316', 'C563924', 'C563134', 'C537396', 'C562998', 'C000598941', 'C536781', 'C562856', 'C536801', 'C537424', 'C567478', 'C564327', 'C000690346', 'C563250', 'C565188', 'C567436', 'C557675', 'C000703194', 'C564395', 'C538389', 'C537315', 'C538061', 'D049912', 'C548027', 'C535824', 'D058456', 'C536053', 'C537310', 'C563412', 'C536953', 'C000603735', 'C569864', 'C563276', 'C537314', 'C538220', 'C537197', 'C564802', 'C536158', 'C562774', 'C563482', 'C538283', 'C536061', 'C566247', 'C564760', 'C535523', 'C535981']}}
{'text': 'translocation involving 14q was found in clones obtained from seven of the eight patients whereas a ring 14 chromosome was found in a clone obtained from the other These findings as well as data obtained by others for patients with [E1] ataxia telangiectasia [\\E1] suggest that structural rearrangement of 14q is the initial chromosomal change in lymphocyte clones of patients with this disorder Chromosomes of lymphocytes from one of the patients were studied before and after the onset of chronic lymphocytic leukemia Before', 'mention_data': {'kb_id': 'D001260', 'candidates': ['D001260', 'C565930', 'C535497', 'C565691', 'D013684', 'C565779', 'D013683', 'C566865', 'C562908', 'C576887', 'C536954', 'C531684', 'D064007', 'C565933', 'C537396', 'D058456', 'C000598941', 'C566386', 'C567478', 'C564395', 'C563086', 'C537424', 'C564105', 'C537316', 'C562998', 'C566246', 'C562774', 'C563134', 'C566247', 'C567436', 'C536953', 'C536511', 'C000690346', 'C535523', 'D005254', 'C566598', 'C000715747', 'C567577', 'C538389', 'C565188', 'C536158', 'C537627', 'C548027', 'C562856', 'D055013', 'C537196', 'D005621', 'C537050', 'C563276', 'C535633', 'C563250', 'C565064', 'C535350', 'C565740', 'C537310', 'C564760', 'D020234', 'C537315', 'C535738', 'C566080', 'C537313', 'C564802', 'C565772', 'C538283']}}
{'text': 'telangiectasia suggest that structural rearrangement of 14q is the initial chromosomal change in lymphocyte clones of patients with this disorder Chromosomes of lymphocytes from one of the patients were studied before and after the onset of chronic lymphocytic leukemia Before [E1] leukemia [\\E1] was diagnosed the patient had a lymphocyte clone with a 14q translocation This clone appears to have given rise to the leukemic cells We hypothesize that structural rearrangement of 14q is directly related to abnormal growth of lymphocytes and', 'mention_data': {'kb_id': 'D007938', 'candidates': ['D007938', 'C565441', 'C566025', 'D007947', 'D004915', 'D015464', 'C564112', 'D015456', 'D015470', 'D054429', 'D015471', 'D007948', 'D007953', 'D054066', 'D015448', 'D007951', 'D015477', 'D007945', 'D007942', 'D015451', 'D015458', 'D054403', 'D015473', 'D015479', 'D015467', 'D015463', 'D054438', 'D015472', 'D015461', 'D007946', 'D007943', 'D007952', 'D015466', 'D009052', 'D007249', 'D054198', 'D016582', 'C565429', 'D011289', 'D015452', 'D015459', 'D014376', 'D006222', 'D010930', 'D000912', 'D015465', 'D000741', 'D019337', 'D017989', 'D000756', 'C536093', 'D004194', 'D000740', 'D005334', 'D018798', 'D005256', 'C567160', 'C562626', 'C536509', 'D016400', 'D000906', 'D000941', 'D016873', 'D054685']}}
{'text': 'Genomic organization of the [E1] adrenoleukodystrophy [\\E1] gene Adrenoleukodystrophy ALD the most frequent peroxisomal disorder is a severe neurodegenerative disease associated with an impairment of very long chain fatty acids beta oxidation We have recently identified by positional cloning the gene responsible for ALD located in', 'mention_data': {'kb_id': 'D000326', 'candidates': ['D000326', 'C538051', 'C535978', 'C535979', 'C566813', 'C564095', 'C565361', 'C564344', 'C564983', 'C535668', 'D052497', 'C538237', 'C565505', 'C538190', 'D008060', 'C565506', 'C538220', 'D052496', 'C567709', 'C537742', 'C564923', 'C563378', 'C580039', 'C567642', 'C566640', 'C537027', 'C537385', 'C563716', 'C567708', 'C538236', 'D000312', 'C563844', 'C565748', 'C562711', 'C564691', 'C564985', 'C535734', 'C567311', 'C563276', 'C564097', 'C566130', 'C563478', 'C565591', 'C536582', 'D020388', 'C567282', 'C535991', 'D003680', 'C566392', 'D009136', 'D010004', 'C563247', 'C567390', 'C006418', 'C536170', 'C564317', 'D010009', 'C565624', 'C566378', 'C537998', 'D020391', 'C563554', 'D014808', 'D009137']}}
{'text': 'Genomic organization of the adrenoleukodystrophy gene [E1] Adrenoleukodystrophy [\\E1] ALD the most frequent peroxisomal disorder is a severe neurodegenerative disease associated with an impairment of very long chain fatty acids beta oxidation We have recently identified by positional cloning the gene responsible for ALD located in Xq28 It', 'mention_data': {'kb_id': 'D000326', 'candidates': ['D000326', 'C538051', 'C566813', 'D008060', 'D052497', 'C564344', 'C565361', 'C535979', 'C564095', 'C535978', 'D052496', 'C538220', 'C564983', 'C538237', 'C565505', 'C565506', 'C535668', 'C537027', 'C567642', 'C567311', 'C538190', 'C537385', 'C563378', 'C564985', 'C538236', 'C567709', 'C563716', 'C567708', 'C537742', 'D009136', 'C563844', 'C567390', 'C566640', 'C564923', 'D000312', 'C567282', 'C564097', 'C565748', 'C564283', 'C535734', 'D009133', 'C567166', 'C564691', 'C567314', 'C564669', 'D003680', 'C563478', 'D020391', 'C580039', 'C535991', 'C567313', 'D014808', 'C562711', 'C536590', 'C563276', 'D004535', 'D020388', 'C563554', 'D009137', 'C563247', 'C566130', 'C536582', 'C566392', 'C563855']}}
{'text': 'Deletion of the KIT and PDGFRA genes in a patient with [E1] piebaldism [\\E1] We have previously shown that human piebaldism results from mutations of the KIT gene which encodes the receptor for the mast/stem cell growth factor and is located in chromosome segment 4q12 Using DNA of a patient with piebaldism mental', 'mention_data': {'kb_id': 'D016116', 'candidates': ['D016116', 'D011371', 'D011546', 'C537179', 'D003480', 'D006961', 'C537901', 'C537377', 'D020371', 'C538160', 'C566739', 'C537938', 'C567730', 'D007562', 'D001906', 'C562776', 'D011547', 'D010300', 'C564015', 'D006962', 'C537625', 'C537231', 'C537889', 'D020417', 'C567423', 'C565496', 'C564214', 'C567661', 'C566988', 'D002598', 'C536516', 'C535917', 'C564159', 'C536401', 'D058437', 'D049950', 'C538052', 'D044903', 'D020828', 'D020734', 'C536434', 'D012415', 'C565359', 'C563161', 'C537096', 'D002636', 'D006623', 'C566403', 'D005885', 'D009494', 'C538421', 'D005887', 'D017593', 'C536870', 'D013341', 'C563578', 'C537899', 'C537448', 'D006977', 'D019970', 'C536074', 'D017681', 'D012035', 'D006929']}}
{'text': 'Deletion of the KIT and PDGFRA genes in a patient with piebaldism We have previously shown that human [E1] piebaldism [\\E1] results from mutations of the KIT gene which encodes the receptor for the mast/stem cell growth factor and is located in chromosome segment 4q12 Using DNA of a patient with piebaldism mental retardation and multiple congenital anomalies associated with', 'mention_data': {'kb_id': 'D016116', 'candidates': ['D016116', 'D011371', 'D011546', 'C537179', 'D003480', 'D020371', 'C537938', 'D001906', 'D020417', 'D011547', 'C537901', 'D006961', 'C564159', 'C537625', 'C537231', 'D010300', 'C536401', 'C562776', 'C537377', 'D020739', 'D004392', 'C566739', 'D044903', 'C567730', 'C564015', 'D007562', 'D058437', 'D012035', 'C538421', 'D019970', 'D020734', 'C567843', 'D006933', 'D002598', 'C538052', 'D002636', 'D006962', 'C565359', 'C537242', 'D051556', 'D020914', 'D017696', 'D001855', 'C564214', 'D049310', 'C536434', 'D009386', 'D024801', 'C536516', 'D005887', 'D006623', 'C563578', 'C535917', 'D020019', 'D009376', 'C537448', 'C538396', 'C566988', 'D009494', 'D006977', 'C538160', 'D046528', 'D005885', 'C565496']}}
{'text': 'patient with piebaldism We have previously shown that human piebaldism results from mutations of the KIT gene which encodes the receptor for the mast/stem cell growth factor and is located in chromosome segment 4q12 Using DNA of a patient with [E1] piebaldism [\\E1] mental retardation and multiple congenital anomalies associated with a 46 XY del 4 q12q21 1 karyotype we carried out quantitative Southern blot hybridization analyses of the KIT gene and the adjacent PDGFRA platelet derived growth factor receptor alpha subunit', 'mention_data': {'kb_id': 'D016116', 'candidates': ['D016116', 'C537179', 'C567730', 'C564495', 'C535995', 'C537448', 'C566682', 'C537377', 'D020828', 'D058437', 'C536516', 'C566739', 'C536401', 'C563888', 'C537938', 'C538160', 'D011546', 'C564706', 'C567216', 'C565319', 'C563335', 'C535537', 'C564015', 'C563363', 'C565357', 'C537901', 'C563353', 'C565701', 'D011596', 'C564099', 'C564348', 'C564675', 'C537042', 'C567423', 'C565719', 'C537231', 'C566545', 'C564272', 'C564214', 'C563885', 'C564322', 'C563354', 'C565832', 'C565207', 'C567215', 'C565496', 'C563702', 'C565211', 'C537889', 'C563810', 'C538421', 'C565640', 'C567214', 'C538199', 'C537444', 'C564246', 'C565316', 'D020734', 'C538197', 'C566495', 'C564808', 'C536869', 'C565754', 'C567277']}}
